table,column,data_type,row_count,null_count,null_pct,distinct_count,duplicate_pct,min,max,mean,flag_high_nulls,flag_low_cardinality,profiled_at
dim_date,date_key,INTEGER,730,0,0.0,730,0.0,20220101,20231231,20225668.3233,False,False,2026-06-08T23:31:05.920356
dim_date,full_date,DATE,730,0,0.0,730,0.0,2022-01-01,2023-12-31,,False,False,2026-06-08T23:31:05.921793
dim_date,day_of_week,INTEGER,730,0,0.0,7,99.0411,1,7,4.0068,False,True,2026-06-08T23:31:05.923248
dim_date,day_name,VARCHAR,730,0,0.0,7,99.0411,Saturday,,,False,True,2026-06-08T23:31:05.924518
dim_date,day_of_month,INTEGER,730,0,0.0,31,95.7534,1,31,15.7205,False,True,2026-06-08T23:31:05.925881
dim_date,day_of_year,INTEGER,730,0,0.0,365,50.0,1,365,183.0,False,False,2026-06-08T23:31:05.927041
dim_date,week_of_year,INTEGER,730,0,0.0,52,92.8767,1,52,26.5699,False,True,2026-06-08T23:31:05.928147
dim_date,month_num,INTEGER,730,0,0.0,12,98.3562,1,12,6.526,False,True,2026-06-08T23:31:05.929337
dim_date,month_name,VARCHAR,730,0,0.0,12,98.3562,January,,,False,True,2026-06-08T23:31:05.930518
dim_date,quarter,INTEGER,730,0,0.0,4,99.4521,1,4,2.5096,False,True,2026-06-08T23:31:05.931512
dim_date,year,INTEGER,730,0,0.0,2,99.726,2022,2023,2022.5,False,True,2026-06-08T23:31:05.932769
dim_date,is_weekend,BOOLEAN,730,0,0.0,2,99.726,True,,,False,True,2026-06-08T23:31:05.933793
dim_date,is_month_start,BOOLEAN,730,0,0.0,2,99.726,True,,,False,True,2026-06-08T23:31:05.934823
dim_date,is_month_end,BOOLEAN,730,0,0.0,2,99.726,False,,,False,True,2026-06-08T23:31:05.935802
dim_date,is_quarter_end,BOOLEAN,730,0,0.0,2,99.726,False,,,False,True,2026-06-08T23:31:05.936739
dim_date,season,VARCHAR,730,0,0.0,4,99.4521,Winter,,,False,True,2026-06-08T23:31:05.937676
dim_date,etl_loaded_at,TIMESTAMP,730,0,0.0,1,99.863,2026-06-08 23:30:48.985385,2026-06-08 23:30:48.985385,,False,True,2026-06-08T23:31:05.938514
dim_date,etl_source_file,VARCHAR,730,0,0.0,1,99.863,programmatic,,,False,True,2026-06-08T23:31:05.939404
dim_warehouse,warehouse_key,INTEGER,3,0,0.0,3,0.0,1,3,2.0,False,False,2026-06-08T23:31:05.941416
dim_warehouse,warehouse_id,VARCHAR,3,0,0.0,3,0.0,DHL-WH-IL02,,,False,False,2026-06-08T23:31:05.942330
dim_warehouse,warehouse_name,VARCHAR,3,0,0.0,3,0.0,DHL Warehouse Illinois 02,,,False,False,2026-06-08T23:31:05.943284
dim_warehouse,city,VARCHAR,3,0,0.0,3,0.0,Chicago,,,False,False,2026-06-08T23:31:05.944293
dim_warehouse,state,VARCHAR,3,0,0.0,3,0.0,Illinois,,,False,False,2026-06-08T23:31:05.945281
dim_warehouse,region,VARCHAR,3,0,0.0,3,0.0,Midwest,,,False,False,2026-06-08T23:31:05.946259
dim_warehouse,country,VARCHAR,3,0,0.0,1,66.6667,USA,,,False,True,2026-06-08T23:31:05.947057
