customer_id,customer_type,region,annual_rev_band,sla_hours,recency_days,frequency_count,monetary_value,recency_score,frequency_score,monetary_score,last_order_date,lifetime_revenue,lifetime_orders,scoring_date,recommended_action
CUST-00154,Retailer,Midwest,200K-1M,48,10,194,9141844.56,1,5,5,2023-12-21,9141844.56,194,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00168,Distributor,Southeast,<50K,72,6,193,8342990.5,2,5,5,2023-12-25,8342990.5,193,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00255,Retailer,Southwest,200K-1M,48,4,184,8156192.36,2,4,5,2023-12-27,8156192.36,184,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00492,Healthcare,International,<50K,48,4,175,7966206.29,2,3,5,2023-12-27,7966206.29,175,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00424,Manufacturer,Southwest,<50K,72,8,181,7943209.88,1,4,5,2023-12-23,7943209.88,181,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00198,Distributor,Southwest,200K-1M,48,4,196,7808123.33,2,5,5,2023-12-27,7808123.33,196,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00351,Distributor,Southwest,>1M,24,4,175,7795058.39,2,3,5,2023-12-27,7795058.39,175,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00411,Retailer,Southwest,50K-200K,24,4,184,7787165.45,2,4,5,2023-12-27,7787165.45,184,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00068,Manufacturer,Northeast,<50K,48,5,176,7783704.64,2,3,5,2023-12-26,7783704.64,176,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00360,Distributor,Southeast,200K-1M,48,6,191,7757089.32,2,5,5,2023-12-25,7757089.32,191,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00016,E-Commerce,Midwest,50K-200K,48,5,178,7682155.29,2,4,5,2023-12-26,7682155.29,178,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00333,Distributor,International,200K-1M,72,11,171,7662626.69,1,3,5,2023-12-20,7662626.69,171,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00487,Distributor,Midwest,50K-200K,24,4,185,7530799.08,2,4,5,2023-12-27,7530799.08,185,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00099,E-Commerce,Southeast,200K-1M,48,25,181,7511319.97,1,4,5,2023-12-06,7511319.97,181,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00218,Distributor,International,<50K,96,7,187,7465461.28,1,5,5,2023-12-24,7465461.28,187,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00166,Distributor,Southwest,<50K,48,5,188,7436124.66,2,5,5,2023-12-26,7436124.66,188,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00473,Retailer,Southwest,<50K,72,10,182,7399424.22,1,4,5,2023-12-21,7399424.22,182,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00019,Distributor,Northeast,<50K,48,4,175,7309058.92,2,3,5,2023-12-27,7309058.92,175,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00069,Government,Northeast,50K-200K,48,7,182,7263704.81,1,4,5,2023-12-24,7263704.81,182,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00472,Retailer,Midwest,50K-200K,48,4,188,7046483.7,2,5,5,2023-12-27,7046483.7,188,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00265,Retailer,Southeast,<50K,72,7,176,7035020.55,1,3,5,2023-12-24,7035020.55,176,2023-12-31,Re-engagement campaign — offer discount or account review
CUST-00111,Retailer,Midwest,<50K,48,12,180,7022736.16,1,4,5,2023-12-19,7022736.16,180,2023-12-31,Re-engagement campaign — offer discount or account review
