operator_surrogate_id,hire_date_cohort,warehouse_id,total_tasks,shifts_worked,tasks_per_shift,accuracy_rate_pct,error_count,task_types_performed
27,2022-Q1,DHL-WH-TX03,52,43,1.2,100.0,0.0,5
33,2022-Q1,DHL-WH-NJ01,58,41,1.4,100.0,0.0,6
25,2022-Q1,DHL-WH-IL02,50,38,1.3,100.0,0.0,5
43,2022-Q1,DHL-WH-TX03,39,35,1.1,100.0,0.0,6
59,2022-Q1,DHL-WH-NJ01,46,36,1.3,100.0,0.0,6
16,2022-Q1,DHL-WH-NJ01,56,36,1.6,100.0,0.0,6
40,2022-Q1,DHL-WH-NJ01,48,38,1.3,100.0,0.0,5
27,2022-Q1,DHL-WH-IL02,38,31,1.2,100.0,0.0,6
2,2022-Q1,DHL-WH-IL02,44,35,1.3,100.0,0.0,6
6,2022-Q1,DHL-WH-IL02,55,40,1.4,100.0,0.0,6
11,2022-Q1,DHL-WH-NJ01,39,36,1.1,100.0,0.0,6
48,2022-Q1,DHL-WH-NJ01,55,40,1.4,100.0,0.0,6
51,2022-Q1,DHL-WH-IL02,48,39,1.2,100.0,0.0,6
53,2022-Q1,DHL-WH-IL02,52,38,1.4,100.0,0.0,6
56,2022-Q1,DHL-WH-NJ01,53,37,1.4,100.0,0.0,5
17,2022-Q1,DHL-WH-NJ01,55,40,1.4,100.0,0.0,5
26,2022-Q1,DHL-WH-NJ01,41,32,1.3,100.0,0.0,6
18,2022-Q1,DHL-WH-NJ01,47,34,1.4,100.0,0.0,6
43,2022-Q1,DHL-WH-IL02,47,32,1.5,100.0,0.0,6
35,2022-Q1,DHL-WH-NJ01,46,35,1.3,100.0,0.0,6
2,2022-Q1,DHL-WH-TX03,63,46,1.4,100.0,0.0,6
34,2022-Q1,DHL-WH-NJ01,60,41,1.5,100.0,0.0,5
52,2022-Q1,DHL-WH-IL02,54,42,1.3,100.0,0.0,6
44,2022-Q1,DHL-WH-TX03,47,35,1.3,100.0,0.0,5
57,2022-Q1,DHL-WH-TX03,47,35,1.3,100.0,0.0,6
22,2022-Q1,DHL-WH-TX03,51,36,1.4,100.0,0.0,6
50,2022-Q1,DHL-WH-TX03,50,37,1.4,100.0,0.0,6
3,2022-Q1,DHL-WH-NJ01,50,36,1.4,100.0,0.0,6
20,2022-Q1,DHL-WH-TX03,52,37,1.4,100.0,0.0,6
41,2022-Q1,DHL-WH-IL02,49,38,1.3,100.0,0.0,6
30,2022-Q1,DHL-WH-IL02,59,44,1.3,100.0,0.0,6
15,2022-Q1,DHL-WH-IL02,49,38,1.3,100.0,0.0,6
20,2022-Q1,DHL-WH-IL02,43,32,1.3,100.0,0.0,6
55,2022-Q1,DHL-WH-IL02,58,39,1.5,100.0,0.0,6
41,2022-Q1,DHL-WH-TX03,52,40,1.3,100.0,0.0,6
5,2022-Q1,DHL-WH-NJ01,46,34,1.4,100.0,0.0,6
37,2022-Q1,DHL-WH-TX03,48,40,1.2,100.0,0.0,6
32,2022-Q1,DHL-WH-IL02,52,37,1.4,100.0,0.0,6
9,2022-Q1,DHL-WH-IL02,55,44,1.3,100.0,0.0,6
46,2022-Q1,DHL-WH-IL02,67,47,1.4,100.0,0.0,6
7,2022-Q1,DHL-WH-TX03,56,37,1.5,100.0,0.0,6
24,2022-Q1,DHL-WH-IL02,52,40,1.3,100.0,0.0,6
7,2022-Q1,DHL-WH-IL02,63,48,1.3,100.0,0.0,6
39,2022-Q1,DHL-WH-IL02,51,36,1.4,100.0,0.0,6
29,2022-Q1,DHL-WH-TX03,47,34,1.4,100.0,0.0,6
55,2022-Q1,DHL-WH-TX03,56,41,1.4,100.0,0.0,6
24,2022-Q1,DHL-WH-TX03,49,37,1.3,100.0,0.0,6
23,2022-Q1,DHL-WH-TX03,67,42,1.6,100.0,0.0,6
9,2022-Q1,DHL-WH-TX03,56,40,1.4,100.0,0.0,6
31,2022-Q1,DHL-WH-NJ01,61,47,1.3,100.0,0.0,6
19,2022-Q1,DHL-WH-NJ01,49,37,1.3,100.0,0.0,6
29,2022-Q1,DHL-WH-IL02,69,48,1.4,100.0,0.0,6
50,2022-Q1,DHL-WH-IL02,38,30,1.3,100.0,0.0,6
38,2022-Q1,DHL-WH-IL02,54,40,1.4,100.0,0.0,6
60,2022-Q1,DHL-WH-TX03,50,36,1.4,100.0,0.0,6
37,2022-Q1,DHL-WH-IL02,56,40,1.4,100.0,0.0,6
