anomaly_type,warehouse_id,detection_date,observed_value,baseline_value,deviation,severity,description,flagged_at
accuracy_drop,DHL-WH-IL02,2022-01-11,97.6189,99.6087,2.27,HIGH,Pick accuracy 97.62% is 2.3σ below 90-day mean (99.61%),2026-06-13T20:22:22.092633
accuracy_drop,DHL-WH-IL02,2022-01-21,97.7776,99.6892,2.4397,HIGH,Pick accuracy 97.78% is 2.4σ below 90-day mean (99.69%),2026-06-13T20:22:22.092707
accuracy_drop,DHL-WH-IL02,2022-01-23,97.9593,99.6275,2.0017,HIGH,Pick accuracy 97.96% is 2.0σ below 90-day mean (99.63%),2026-06-13T20:22:22.092762
accuracy_drop,DHL-WH-IL02,2022-01-26,97.6193,99.5789,2.2172,HIGH,Pick accuracy 97.62% is 2.2σ below 90-day mean (99.58%),2026-06-13T20:22:22.092809
accuracy_drop,DHL-WH-IL02,2022-01-27,95.3492,99.4223,3.4256,HIGH,Pick accuracy 95.35% is 3.4σ below 90-day mean (99.42%),2026-06-13T20:22:22.092853
accuracy_drop,DHL-WH-IL02,2022-02-06,95.4544,99.338,3.0162,HIGH,Pick accuracy 95.45% is 3.0σ below 90-day mean (99.34%),2026-06-13T20:22:22.092898
accuracy_drop,DHL-WH-IL02,2022-02-27,96.6668,99.3244,2.1453,HIGH,Pick accuracy 96.67% is 2.1σ below 90-day mean (99.32%),2026-06-13T20:22:22.092941
accuracy_drop,DHL-WH-IL02,2022-03-28,96.7742,99.3474,2.2041,HIGH,Pick accuracy 96.77% is 2.2σ below 90-day mean (99.35%),2026-06-13T20:22:22.092985
accuracy_drop,DHL-WH-IL02,2022-04-07,94.8721,99.2786,3.482,HIGH,Pick accuracy 94.87% is 3.5σ below 90-day mean (99.28%),2026-06-13T20:22:22.093028
accuracy_drop,DHL-WH-IL02,2022-05-02,95.4546,99.3058,3.0761,HIGH,Pick accuracy 95.45% is 3.1σ below 90-day mean (99.31%),2026-06-13T20:22:22.093072
accuracy_drop,DHL-WH-IL02,2022-05-23,95.6523,99.3403,3.0149,HIGH,Pick accuracy 95.65% is 3.0σ below 90-day mean (99.34%),2026-06-13T20:22:22.093114
accuracy_drop,DHL-WH-IL02,2022-06-10,93.3336,99.3427,4.4679,HIGH,Pick accuracy 93.33% is 4.5σ below 90-day mean (99.34%),2026-06-13T20:22:22.093157
accuracy_drop,DHL-WH-IL02,2022-07-16,96.1541,99.3829,2.5116,HIGH,Pick accuracy 96.15% is 2.5σ below 90-day mean (99.38%),2026-06-13T20:22:22.093199
accuracy_drop,DHL-WH-IL02,2022-09-03,96.0002,99.4302,2.8241,HIGH,Pick accuracy 96.00% is 2.8σ below 90-day mean (99.43%),2026-06-13T20:22:22.093241
