warehouse_id,error_code,category,error_count_30d,error_count_prior_30d,trend_ratio,top_affected_skus
DHL-WH-IL02,WRONG_QTY,HLT,2,3,0.67,"CHM-000409, PHM-001441, ELC-000551"
DHL-WH-IL02,WRONG_QTY,ELC,2,3,0.67,"CHM-000409, PHM-001441, ELC-000551"
DHL-WH-IL02,WRONG_SKU,PHM,1,3,0.33,"CHM-000202, IND-000331, IND-001650"
DHL-WH-IL02,WRONG_QTY,FMC,1,3,0.33,"CHM-000409, PHM-001441, ELC-000551"
DHL-WH-IL02,DAMAGED,ELC,1,3,0.33,"FSH-000832, ELC-001982, ELC-000099"
DHL-WH-IL02,WRONG_LOCATION,IND,1,2,0.5,"FMC-001122, FMC-001164, HLT-000151"
DHL-WH-IL02,WRONG_SKU,IND,1,3,0.33,"CHM-000202, IND-000331, IND-001650"
DHL-WH-IL02,WRONG_QTY,AUT,1,3,0.33,"CHM-000409, PHM-001441, ELC-000551"
DHL-WH-NJ01,MISSING_LABEL,FMC,6,3,2.0,"FMC-000707, FMC-000549, FMC-001198"
DHL-WH-NJ01,WRONG_SKU,PHM,3,4,0.75,"FMC-001959, FSH-001519, ELC-001274"
DHL-WH-NJ01,WRONG_LOCATION,FMC,3,10,0.3,"CHM-000412, CHM-001081, PHM-001862"
DHL-WH-NJ01,WRONG_LOCATION,FSH,2,10,0.2,"CHM-000412, CHM-001081, PHM-001862"
DHL-WH-NJ01,DAMAGED,HLT,2,4,0.5,"FMC-000981, FSH-000633, HLT-000748"
DHL-WH-NJ01,WRONG_SKU,ELC,1,4,0.25,"FMC-001959, FSH-001519, ELC-001274"
DHL-WH-NJ01,WRONG_QTY,HLT,1,3,0.33,"FMC-001391, PHM-001240, FMC-001058"
DHL-WH-NJ01,WRONG_SKU,IND,1,4,0.25,"FMC-001959, FSH-001519, ELC-001274"
DHL-WH-NJ01,WRONG_QTY,ELC,1,3,0.33,"FMC-001391, PHM-001240, FMC-001058"
DHL-WH-NJ01,WRONG_SKU,FMC,1,4,0.25,"FMC-001959, FSH-001519, ELC-001274"
DHL-WH-NJ01,MISSING_LABEL,ELC,1,3,0.33,"FMC-000707, FMC-000549, FMC-001198"
DHL-WH-NJ01,WRONG_LOCATION,HLT,1,10,0.1,"CHM-000412, CHM-001081, PHM-001862"
DHL-WH-NJ01,MISSING_LABEL,CHM,1,3,0.33,"FMC-000707, FMC-000549, FMC-001198"
DHL-WH-NJ01,WRONG_LOCATION,ELC,1,10,0.1,"CHM-000412, CHM-001081, PHM-001862"
DHL-WH-TX03,WRONG_LOCATION,AUT,2,4,0.5,"PHM-000310, IND-000989, AUT-001929"
DHL-WH-TX03,WRONG_SKU,FMC,1,4,0.25,"PHM-000201, ELC-001824, FMC-001959"
DHL-WH-TX03,WRONG_LOCATION,CHM,1,4,0.25,"PHM-000310, IND-000989, AUT-001929"
DHL-WH-TX03,DAMAGED,PHM,1,3,0.33,"FMC-000506, FSH-001835, IND-001175"
DHL-WH-TX03,WRONG_LOCATION,IND,1,4,0.25,"PHM-000310, IND-000989, AUT-001929"
DHL-WH-TX03,WRONG_LOCATION,FMC,1,4,0.25,"PHM-000310, IND-000989, AUT-001929"
DHL-WH-TX03,MISSING_LABEL,FSH,1,6,0.17,"ELC-000475, FMC-000246, FMC-000698"
DHL-WH-TX03,WRONG_QTY,ELC,1,1,1.0,"CHM-000831, AUT-000940, IND-001288"
DHL-WH-TX03,WRONG_SKU,ELC,1,4,0.25,"PHM-000201, ELC-001824, FMC-001959"
DHL-WH-TX03,MISSING_LABEL,CHM,1,6,0.17,"ELC-000475, FMC-000246, FMC-000698"
DHL-WH-TX03,WRONG_QTY,IND,1,1,1.0,"CHM-000831, AUT-000940, IND-001288"
DHL-WH-TX03,WRONG_SKU,CHM,1,4,0.25,"PHM-000201, ELC-001824, FMC-001959"
DHL-WH-TX03,MISSING_LABEL,PHM,1,6,0.17,"ELC-000475, FMC-000246, FMC-000698"
DHL-WH-TX03,WRONG_QTY,FSH,1,1,1.0,"CHM-000831, AUT-000940, IND-001288"
DHL-WH-TX03,WRONG_SKU,HLT,1,4,0.25,"PHM-000201, ELC-001824, FMC-001959"
DHL-WH-TX03,MISSING_LABEL,HLT,1,6,0.17,"ELC-000475, FMC-000246, FMC-000698"
DHL-WH-TX03,WRONG_QTY,HLT,1,1,1.0,"CHM-000831, AUT-000940, IND-001288"
DHL-WH-TX03,WRONG_QTY,PHM,1,1,1.0,"CHM-000831, AUT-000940, IND-001288"
