warehouse_id,operator_id,hire_date_cohort,days_as_high_performer,avg_pick_accuracy_pct,total_tasks,recognition_note
DHL-WH-IL02,2,2022-Q1,14,100.0,24.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,1,2022-Q1,16,100.0,38.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,13,2022-Q1,13,100.0,27.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,60,2022-Q1,11,100.0,21.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,59,2022-Q1,14,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,56,2022-Q1,15,100.0,36.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,58,2022-Q1,15,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,55,2022-Q1,16,100.0,32.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,57,2022-Q1,16,100.0,32.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,54,2022-Q1,18,100.0,33.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,52,2022-Q1,18,100.0,35.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,53,2022-Q1,17,100.0,31.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,4,2022-Q1,15,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,51,2022-Q1,16,100.0,24.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,50,2022-Q1,13,100.0,21.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,47,2022-Q1,17,100.0,31.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,46,2022-Q1,20,100.0,44.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,45,2022-Q1,19,100.0,39.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,49,2022-Q1,15,100.0,26.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,48,2022-Q1,12,100.0,30.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,7,2022-Q1,17,100.0,29.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,43,2022-Q1,16,100.0,37.0,Eligible for recognition — sustained accuracy above 99.8%
DHL-WH-IL02,12,2022-Q1,13,100.0,21.0,Eligible for recognition — sustained accuracy above 99.8%
