kpi_year,kpi_month,warehouse_id,total_tasks,total_picks,total_errors,pick_accuracy_pct,overall_accuracy_pct,avg_pick_duration_min,picks_per_labour_hour,working_days,pick_accuracy_mom_delta
2023,1,DHL-WH-IL02,3136,1372,28,98.688,99.107,7.665,7.847,31,
2023,2,DHL-WH-IL02,2803,1276,22,99.451,99.215,7.535,8.068,28,0.763
2023,3,DHL-WH-IL02,3160,1396,18,99.355,99.43,7.535,8.008,31,-0.096
2023,4,DHL-WH-IL02,3069,1420,19,99.577,99.381,7.388,8.117,30,0.222
2023,5,DHL-WH-IL02,3096,1365,19,98.901,99.386,7.512,8.072,31,-0.676
2023,6,DHL-WH-IL02,3037,1380,23,99.493,99.243,7.4,8.041,30,0.592
2023,7,DHL-WH-IL02,3200,1411,15,99.22,99.531,7.544,7.993,31,-0.273
2023,8,DHL-WH-IL02,3094,1316,23,99.24,99.257,7.432,8.022,31,0.02
2023,9,DHL-WH-IL02,2996,1354,19,99.335,99.366,7.419,8.044,30,0.095
2023,10,DHL-WH-IL02,3091,1383,20,99.277,99.353,7.576,7.944,31,-0.058
2023,11,DHL-WH-IL02,3016,1320,16,99.621,99.469,7.582,7.89,30,0.344
2023,12,DHL-WH-IL02,3150,1425,10,99.719,99.683,7.523,8.022,31,0.098
2023,1,DHL-WH-NJ01,3098,1420,22,99.225,99.29,7.446,8.037,31,
2023,2,DHL-WH-NJ01,2864,1288,19,99.224,99.337,7.424,8.062,28,-0.001
2023,3,DHL-WH-NJ01,3089,1415,21,99.293,99.32,7.554,7.938,31,0.069
2023,4,DHL-WH-NJ01,3047,1363,21,99.34,99.311,7.449,8.049,30,0.047
2023,5,DHL-WH-NJ01,3042,1363,16,99.486,99.474,7.462,8.036,31,0.146
2023,6,DHL-WH-NJ01,3066,1376,19,99.273,99.38,7.52,8.035,30,-0.213
2023,7,DHL-WH-NJ01,3002,1343,13,99.479,99.567,7.396,8.133,31,0.206
2023,8,DHL-WH-NJ01,3152,1365,22,99.121,99.302,7.514,7.981,31,-0.358
2023,9,DHL-WH-NJ01,2968,1361,15,99.559,99.495,7.375,8.107,30,0.438
2023,10,DHL-WH-NJ01,3057,1370,24,99.343,99.215,7.555,7.939,31,-0.216
2023,11,DHL-WH-NJ01,3013,1339,24,99.178,99.203,7.473,8.007,30,-0.165
2023,12,DHL-WH-NJ01,3080,1388,25,99.28,99.188,7.514,8.022,31,0.102
2023,1,DHL-WH-TX03,3038,1348,21,99.036,99.309,7.523,7.956,31,
2023,2,DHL-WH-TX03,2756,1254,18,99.362,99.347,7.516,7.992,28,0.326
2023,3,DHL-WH-TX03,3126,1409,21,99.361,99.328,7.488,8.029,31,-0.001
2023,4,DHL-WH-TX03,3027,1410,20,99.149,99.339,7.534,7.994,30,-0.212
2023,5,DHL-WH-TX03,3083,1400,21,99.214,99.319,7.49,7.979,31,0.065
2023,6,DHL-WH-TX03,3043,1328,14,99.548,99.54,7.591,7.887,30,0.334
2023,7,DHL-WH-TX03,3134,1421,20,99.578,99.362,7.595,7.894,31,0.03
2023,8,DHL-WH-TX03,3059,1344,14,99.554,99.542,7.565,7.95,31,-0.024
2023,9,DHL-WH-TX03,3044,1338,27,98.58,99.113,7.454,8.033,30,-0.974
2023,10,DHL-WH-TX03,3136,1390,19,99.281,99.394,7.432,8.046,31,0.701
2023,11,DHL-WH-TX03,3012,1376,18,99.273,99.402,7.525,7.958,30,-0.008
2023,12,DHL-WH-TX03,3172,1369,19,99.416,99.401,7.443,8.091,31,0.143
