warehouse_id,operator_id,hire_date_cohort,total_tasks,total_picks,total_errors,pick_accuracy_pct,shifts_worked,rank_in_warehouse
DHL-WH-IL02,17,2022-Q1,50.0,23.0,0.0,100.0,35,1
DHL-WH-IL02,27,2022-Q1,38.0,13.0,0.0,100.0,31,1
DHL-WH-IL02,3,2022-Q1,51.0,30.0,0.0,100.0,34,1
DHL-WH-IL02,5,2022-Q1,54.0,26.0,0.0,100.0,41,1
DHL-WH-IL02,6,2022-Q1,55.0,28.0,0.0,100.0,40,1
DHL-WH-IL02,8,2022-Q1,63.0,31.0,0.0,100.0,43,1
DHL-WH-IL02,9,2022-Q1,55.0,25.0,0.0,100.0,44,1
DHL-WH-IL02,10,2022-Q1,66.0,37.0,0.0,100.0,42,1
DHL-WH-IL02,11,2022-Q1,62.0,25.0,0.0,100.0,47,1
DHL-WH-IL02,18,2022-Q1,51.0,16.0,0.0,100.0,40,1
DHL-WH-IL02,19,2022-Q1,51.0,21.0,0.0,100.0,40,1
DHL-WH-IL02,20,2022-Q1,43.0,20.0,0.0,100.0,32,1
DHL-WH-IL02,21,2022-Q1,49.0,27.0,0.0,100.0,40,1
DHL-WH-IL02,23,2022-Q1,55.0,29.0,0.0,100.0,42,1
DHL-WH-IL02,25,2022-Q1,50.0,18.0,0.0,100.0,38,1
DHL-WH-IL02,49,2022-Q1,56.0,20.0,0.0,100.0,43,1
DHL-WH-IL02,28,2022-Q1,60.0,27.0,0.0,100.0,44,1
DHL-WH-IL02,29,2022-Q1,69.0,31.0,0.0,100.0,48,1
DHL-WH-IL02,31,2022-Q1,65.0,31.0,0.0,100.0,48,1
DHL-WH-IL02,33,2022-Q1,44.0,18.0,0.0,100.0,36,1
DHL-WH-IL02,34,2022-Q1,55.0,27.0,0.0,100.0,39,1
DHL-WH-IL02,24,2022-Q1,52.0,23.0,0.0,100.0,40,1
DHL-WH-IL02,36,2022-Q1,66.0,23.0,0.0,100.0,43,1
DHL-WH-IL02,37,2022-Q1,56.0,24.0,0.0,100.0,40,1
DHL-WH-IL02,43,2022-Q1,47.0,27.0,0.0,100.0,32,1
DHL-WH-IL02,55,2022-Q1,58.0,25.0,0.0,100.0,39,1
DHL-WH-IL02,45,2022-Q1,53.0,29.0,0.0,100.0,34,1
DHL-WH-IL02,46,2022-Q1,67.0,34.0,0.0,100.0,47,1
DHL-WH-IL02,47,2022-Q1,48.0,25.0,2.0,100.0,38,1
DHL-WH-IL02,50,2022-Q1,38.0,15.0,0.0,100.0,30,1
DHL-WH-IL02,51,2022-Q1,48.0,22.0,0.0,100.0,39,1
DHL-WH-IL02,53,2022-Q1,52.0,23.0,0.0,100.0,38,1
DHL-WH-IL02,54,2022-Q1,41.0,26.0,0.0,100.0,32,1
DHL-WH-IL02,57,2022-Q1,60.0,27.0,0.0,100.0,46,1
DHL-WH-IL02,58,2022-Q1,48.0,22.0,0.0,100.0,35,1
DHL-WH-IL02,52,2022-Q1,54.0,25.0,0.0,100.0,42,1
DHL-WH-IL02,60,2022-Q1,37.0,16.0,0.0,100.0,29,1
DHL-WH-IL02,2,2022-Q1,44.0,17.0,0.0,100.0,35,1
DHL-WH-IL02,4,2022-Q1,47.0,25.0,1.0,100.0,33,1
DHL-WH-IL02,7,2022-Q1,63.0,22.0,0.0,100.0,48,1
DHL-WH-IL02,12,2022-Q1,48.0,17.0,0.0,100.0,38,1
DHL-WH-IL02,13,2022-Q1,45.0,19.0,0.0,100.0,33,1
DHL-WH-IL02,14,2022-Q1,58.0,25.0,0.0,100.0,42,1
DHL-WH-IL02,15,2022-Q1,49.0,24.0,0.0,100.0,38,1
DHL-WH-IL02,16,2022-Q1,49.0,24.0,1.0,100.0,36,1
DHL-WH-IL02,22,2022-Q1,37.0,17.0,0.0,100.0,31,1
DHL-WH-IL02,56,2022-Q1,55.0,25.0,0.0,100.0,37,1
DHL-WH-IL02,26,2022-Q1,41.0,20.0,0.0,100.0,34,1
DHL-WH-IL02,30,2022-Q1,59.0,32.0,0.0,100.0,44,1
DHL-WH-IL02,32,2022-Q1,52.0,24.0,0.0,100.0,37,1
DHL-WH-IL02,38,2022-Q1,54.0,23.0,0.0,100.0,40,1
DHL-WH-IL02,39,2022-Q1,51.0,21.0,0.0,100.0,36,1
DHL-WH-IL02,40,2022-Q1,48.0,19.0,0.0,100.0,37,1
DHL-WH-IL02,41,2022-Q1,49.0,18.0,0.0,100.0,38,1
DHL-WH-IL02,42,2022-Q1,50.0,23.0,0.0,100.0,37,1
DHL-WH-IL02,48,2022-Q1,52.0,21.0,0.0,100.0,34,1
DHL-WH-IL02,1,2022-Q1,65.0,27.0,1.0,100.0,42,1
DHL-WH-IL02,44,2022-Q1,56.0,26.0,2.0,96.154,44,58
DHL-WH-IL02,59,2022-Q1,55.0,24.0,1.0,95.833,41,59
DHL-WH-IL02,35,2022-Q1,56.0,23.0,2.0,91.304,42,60
DHL-WH-NJ01,2,2022-Q1,42.0,21.0,0.0,100.0,34,1
DHL-WH-NJ01,40,2022-Q1,48.0,19.0,0.0,100.0,38,1
DHL-WH-NJ01,7,2022-Q1,54.0,29.0,0.0,100.0,34,1
DHL-WH-NJ01,59,2022-Q1,46.0,13.0,0.0,100.0,36,1
DHL-WH-NJ01,58,2022-Q1,55.0,25.0,1.0,100.0,42,1
